glew 2.2.0-6
glew1.10 1.10.0-3
glib-networking 1:2.78.1-1
glib2 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glslang 14.0.0-2
glu 9.0.3-1
gmp 6.3.0-1
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnu-netcat 0.7.1-9
gnupg 2.4.4-1
gnutls 3.8.3-1
go 2:1.22.0-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
grantlee 5.3.1-1
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 10.0.1-1
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-1
grub-btrfs 4.13-1
grub-customizer 5.2.4-1
grub-theme-garuda r24.e7ba4cd-1
gsettings-desktop-schemas 45.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-libav 1.22.10-1
gst-plugins-bad 1.22.10-1
gst-plugins-bad-libs 1.22.10-1
gst-plugins-base 1.22.10-1
gst-plugins-base-libs 1.22.10-1
gst-plugins-good 1.22.10-1
gstreamer 1.22.10-1
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.12.5-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.12.5-1
gtkmm3 3.24.8-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gts 0.7.6.121130-2
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.52.2-2
gvfs-mtp 1.52.2-2
gwe 0.15.7-1
gwenview 23.08.5-1
gzip 1.13-2
harfbuzz 8.3.0-2
harfbuzz-icu 8.3.0-2
hblock 3.4.4-1
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
httpdirfs-debug 1.2.5-2
hunspell 1.7.2-1
hunspell-en_gb 2020.12.07-5
hwdata 0.379-1
hwinfo 23.2-1
hwloc 2.10.0-1
hyphen 2.8.8-5
hyphen-en 2.8.8-5
i2c-tools 4.3-4
iana-etc 20231228-1
icoextract 0.1.4-3
icoutils 0.32.3-3
icu 74.2-1
ijs 0.35-6
imagemagick 7.1.1.29-2
imath 3.1.11-1
imlib2 1.12.2-2
inetutils 2.5-1
iniparser 4.1-5
input-wacom-dkms 1.1.0-1
inxi 3.3.33.1-1
iproute2 6.7.0-1
iptables-nft 1:1.8.10-1
iputils 20240117-1
irqbalance 1.9.3-2
iso-codes 4.16.0-1
iw 6.7-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.2.1-1
java-commons-lang 3.14.0-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jdk-openjdk 21.0.2.u13-3
jemalloc 1:5.3.0-3
jfsutils 1.1.15-8
jhead 3.08-1
jmtpfs 0.5-3
jq 1.7.1-1
jsignpdf 2.2.2-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kaccounts-integration 23.08.5-1
kaccounts-providers 23.08.5-1
kactivities-stats5 5.115.0-1
kactivities5 5.115.0-1
kactivitymanagerd 5.27.10-1
kamera 23.08.5-1
kamoso 23.08.5-1
karchive5 5.115.0-1
kauth5 5.115.0-1
kbd 2.6.4-1
kbookmarks5 5.115.0-1
kcalc 23.08.5-1
kcalendarcore5 5.115.0-1
kcm-wacomtablet 1:3.2.0-7
kcmutils5 5.115.0-1
kcodecs5 5.115.0-1
kcolorpicker-qt5 0.3.0-3
kcompletion5 5.115.0-1
kconfig5 5.115.0-1
kconfigwidgets5 5.115.0-1
kcontacts5 5.115.0-1
kcoreaddons5 5.115.0-1
kcrash5 5.115.0-1
kcron 23.08.5-1
kdbusaddons5 5.115.0-1
kde-cli-tools 5.27.10-1
kde-gtk-config 5.27.10-1
kde-service-menu-reimage 2.5-1.4
kde-servicemenus-encfs 0.8-2.4
kde-servicemenus-komparemenu 0.1-3.4
kde-servicemenus-officeconverter 1-1.4
kde-servicemenus-pdf-encrypt-decrypt 1-1
kde-servicemenus-sendtodesktop 1-1.4
kde-servicemenus-setaswallpaper 1-1.4
kdeclarative5 5.115.0-1
kdeconnect 23.08.5-1
kdecoration 5.27.10-1
kded5 5.115.0-1
kdegraphics-mobipocket 23.08.5-1
kdegraphics-thumbnailers 23.08.5-1
kdelibs4support 5.115.0-1
kdeplasma-addons 5.27.10-2
kdesu5 5.115.0-1
kdf 23.08.5-1
kdialog 23.08.5-1
kdnssd5 5.115.0-1
kdoctools5 5.115.0-1
kdsoap-qt5 2.2.0-1
keditbookmarks 23.08.5-1
keepassxc 2.7.6-3
kemoticons 5.115.0-1
kernel-modules-hook 0.1.7-2
keyutils 1.6.3-2
kf5-servicemenus-pdf 2.3-4
kfilemetadata5 5.115.0-1
kfind 23.08.5-1
kgamma 5.27.10-2
kglobalaccel5 5.115.0-1
kguiaddons5 5.115.0-1
khelpcenter 23.08.5-1
kholidays5 1:5.115.0-1
khotkeys 5.27.10-1
khtml 5.115.0-1
ki18n5 5.115.1-1
kiconthemes5 5.115.0-1
kidentitymanagement 23.08.5-1
kidletime5 5.115.0-1
kimageannotator-qt5 0.7.0-3
kimageformats5 5.115.0-2
kinfocenter 5.27.10-1
kinit 5.115.0-1
kio-extras 23.08.5-1
kio-fuse 5.1.0-1
kio-gdrive 23.08.5-1
kio5 5.115.0-1
kirigami-addons5 0.11.0-7
kirigami2 5.115.0-1
kitemmodels5 5.115.0-1
kitemviews5 5.115.0-1
kjobwidgets5 5.115.0-1
kjs 5.115.0-1
kleopatra 23.08.5-1
kmailtransport 23.08.5-1
kmenuedit 5.27.10-1
kmime 23.08.5-1
kmod 31-1
knewstuff5 5.115.0-1
knotifications5 5.115.0-1
knotifyconfig5 5.115.0-1
kompare 23.08.5-1
konsole 23.08.5-1
kpackage5 5.115.0-1
kparts5 5.115.0-1
kpeople5 5.115.0-1
kpeoplevcard 0.1-2
kpimtextedit 23.08.5-1
kpipewire 5.27.10-1
kpmcore 23.08.5-1
kpty5 5.115.0-1
kquickcharts5 5.115.0-1
krb5 1.21.2-2
krdc 23.08.5-1
krename 5.0.2-10
krfb 23.08.5-1
krunner5 5.115.0-1
kscreen 5.27.10-1
kscreenlocker 5.27.10-1
kservice5 5.115.0-1
ksmtp 23.08.5-1
ksshaskpass 5.27.10-1
ksystemlog 23.08.5-1
ksystemstats 5.27.10-1
ktextaddons 1.5.3-1
ktexteditor5 5.115.0-1
ktextwidgets5 5.115.0-1
kunitconversion5 5.115.0-1
kuserfeedback5 1.3.0-4
kwallet-pam 5.27.10-1
kwallet5 5.115.0-1
kwalletmanager 23.08.5-1
kwayland5 5.115.0-1
kwidgetsaddons5 5.115.0-1
kwin 5.27.10-2
kwindowsystem5 5.115.0-1
kwrited 5.27.10-1
kxmlgui5 5.115.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-3
layer-shell-qt 5.27.10-1
lcms2 2.16-1
ldb 2:2.8.0-1
ldns 1.8.3-2
lensfun 1:0.3.4-3
less 1:643-1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.11-1
lib32-alsa-oss 1.1.8-4
lib32-alsa-plugins 1.2.7.1-2
lib32-at-spi2-core 2.50.1-1
lib32-attr 2.5.2-1
lib32-blas 3.11.0-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-cairo 1.18.0-1
lib32-colord 1.4.7-1
lib32-curl 8.6.0-3
lib32-dbus 1.14.10-2
lib32-dbus-glib 0.112-2
lib32-duktape 2.7.0-6
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.6.1-1
lib32-faudio 24.02-1
lib32-faudio-debug 24.02-1
lib32-flac 1.4.3-1
lib32-fluidsynth 2.3.4-1
lib32-fontconfig 2:2.15.0-1
lib32-freeglut 3.4.0-1
lib32-freetype2 2.13.2-1
lib32-fribidi 1.0.13-2
lib32-gcc-libs 13.2.1-5
lib32-gdk-pixbuf2 2.42.10-2
lib32-gettext 0.22.4-1
lib32-giflib 5.2.2-1
lib32-glew 2.2.0-4
lib32-glew1.10 1.10.0-5
lib32-glib-networking 1:2.78.1-1
lib32-glib2 2.78.4-1
lib32-glibc 2.39-1
lib32-glu 9.0.3-1
lib32-gmp 6.3.0-1
lib32-gnutls 3.8.3-1
lib32-gst-plugins-base-libs 1.22.10-1
lib32-gstreamer 1.22.10-1
lib32-gtk2 2.24.33-2
lib32-gtk3 1:3.24.41-1
lib32-harfbuzz 8.3.0-2
lib32-icu 74.2-1
lib32-imlib2 1.12.2-1
lib32-jack2 1.9.22-1
lib32-json-c 0.17-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.2-1
lib32-lapack 3.11.0-1
lib32-lcms2 2.16-1
lib32-libappindicator-gtk2 12.10.0.r298-1
lib32-libasyncns 1:0.8+r3+g68cd5af-2
lib32-libcaca 0.99.beta20-1
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libcap 2.69-1
lib32-libcups 2.4.7-1
lib32-libcurl-compat 8.6.0-3
lib32-libcurl-gnutls 8.6.0-3
lib32-libdatrie 0.2.13-2
lib32-libdbusmenu-glib 16.04.0-5
lib32-libdbusmenu-gtk2 16.04.0-5
lib32-libdecor 0.2.2-1
lib32-libdrm 2.4.119-1
lib32-libelf 0.191-1
